Label,x_a,y_b,z_c
Si3_42_1_-1_-1,1,-0.3042,-0.1188
Na1_1_-1_0_-1,-0.5,0.5,-0.5
Na1_25_-1_0_-1,-1,0,-1
Na2_1_-1_0_-1,-0.5,0,-0.25
Na2_2_-1_0_-1,-1,0.25,-0.5
Na2_3_-1_0_-1,-0.25,0.5,-1
Na2_4_-1_0_-1,-0.5,0,-0.75
Na2_5_-1_0_-1,-1,0.75,-0.5
Na2_6_-1_0_-1,-0.75,0.5,-1
Si1_1_-1_0_-1,-1,0.5,-0.25
Si1_2_-1_0_-1,-0.5,0.25,-1
Si1_3_-1_0_-1,-0.25,0,-0.5
Si1_4_-1_0_-1,-1,0.5,-0.75
Si1_5_-1_0_-1,-0.5,0.75,-1
Si1_6_-1_0_-1,-0.75,0,-0.5
Si2_1_-1_0_-1,-0.31389,0.31389,-0.31389
Si2_4_-1_0_-1,-0.68611,0.68611,-0.68611
Si2_7_-1_0_-1,-0.31389,0.68611,-0.68611
Si2_10_-1_0_-1,-0.68611,0.31389,-0.31389
Si2_13_-1_0_-1,-0.68611,0.68611,-0.31389
Si2_16_-1_0_-1,-0.31389,0.31389,-0.68611
Si2_19_-1_0_-1,-0.68611,0.31389,-0.68611
Si2_22_-1_0_-1,-0.31389,0.68611,-0.31389
Si2_25_-1_0_-1,-0.81389,0.18611,-0.18611
Si2_28_-1_0_-1,-0.18611,0.81389,-0.81389
Si2_31_-1_0_-1,-0.81389,0.81389,-0.81389
Si2_34_-1_0_-1,-0.18611,0.18611,-0.18611
Si2_37_-1_0_-1,-0.18611,0.18611,-0.81389
Si2_40_-1_0_-1,-0.81389,0.81389,-0.18611
Si2_43_-1_0_-1,-0.18611,0.81389,-0.18611
Si2_46_-1_0_-1,-0.81389,0.18611,-0.81389
Si3_1_-1_0_-1,-0.3812,0.1958,-0.5
Si3_2_-1_0_-1,-0.1958,0.5,-0.3812
Si3_3_-1_0_-1,-0.5,0.3812,-0.1958
Si3_4_-1_0_-1,-0.6188,0.8042,-0.5
